prefixe,pdc,operateur,part_op,n_op,amenageur,siren,n_siren,enseigne_top
FRSIG,1269,IZIVIA,1.0,1,SIGEIF,200050433,1,SIGEIF
FRSIP,1214,Bouygues Energies & Services,1.0,1,La borne bleue,257500041,1,La borne bleue
FRSE1,1160,STATIONS-E,1.0,1,STATIONS-E,835124280,1,Stations-e
FRCG0,1137,ChargePoint Austria GmbH | FR*CG0,0.9,3,RAIDEN SAS (ChargeGuru),432568780,32,ChargeGuru
FRLMS,1128,SOREGIES MOBILITES,0.701,24,SOREGIES,450889225,83,SOREGIES MOBILITES
FRP01,1100,Bouygues Energies & Services,1.0,1,EFFIA STATIONNEMENT,435272596,1,EFFIA France
FRMGP,1095,SPIE CityNetworks,0.995,2,Métropolis,885354860,1,Métropolis
FRS81,1081,BOUYGUES ENERGIES SERVICES,0.615,2,Syndicat Départemental d'Energie du Tarn,258100072,1,Le Plein Tarnais
FRY55,1079,YES55 | FR*Y55,1.0,1,MISSING,,0,FR*Y55
FRSRG,1078,Soregies,0.776,4,Soregies,450889225,1,Soregies
FRQVI,981,QOVOLTIS,1.0,1,Qovoltis INFRA,883799462,1,QOVOLTIS
FRGSP,947,Greenspot,0.684,5,Greenspot,820879021,18,Greenspot Entreprise
FRITP,944,Interparking France,1.0,1,Interparking France,491925749,1,Interparking Parking Gare Saint Jean Armagnac
FRIKA,915,IZIVIA,1.0,1,IKEA,,0,IKEA
FRVIR,915,Virta,1.0,1,Virta,,0,Shopping Promenade Arles Montmajour
FRZWO,880,Ze-Watt,1.0,1,,,0,Réseau de recharge Ze-Watt
FRSWS,874,Sowatt Solutions,0.96,2,SOWATT SOLUTIONS,903356970,4,Sowatt Solutions
FRROS,871,RossiniEnergy,1.0,1,RossiniEnergy,839265873,53,RossiniEnergy
FRM06,870,IZIVIA,1.0,1,NICE RP,200030195,1,NICE RP
FRBFC,823,Citeos Mobilité Electrique Paris - Cogelum IDF,1.0,1,371__SDEY,200047181,1,CPO CITEOS Region-Bfc
FRS44,815,Bouygues Energies & Services,0.501,2,Territoire d'Energie Loire Atlantique,840290183,1,Ouest Charge
FRENT,800,Enerstock | FR*ENT,1.0,1,Leclerc Saint Paul les Dax,,0,Enerstock
FRR3M,793,R3,1.0,1,R3 SPV COM,949415814,5,R3 SPV COM
FRWIZ,793,Evzen,1.0,1,WiiiZ CACPL - Bornes publiques,240600585,1,Evzen
FRGLY,790,IZIVIA,1.0,1,Grand Lyon,419070180,2,Grand Lyon
FRS49,730,Bouygues Energies & Services,0.833,2,Syndicat Int d'Energies du Maine et Loire (FR*S49),254901309,1,Ouest Charge
FRA79,714,SEOLIS,1.0,1,SEOLIS,492041066,1,Seolis
FRBPE,668,bp Pulse,0.753,2,bp Pulse,542034327,1,bp Pulse
FRS77,664,Bouygues Energies & Services,1.0,1,Ecocharge77,200041309,1,Ecocharge77
FRMEL,662,TotalEnergies Charging Services,1.0,1,TotalEnergies Charging Services,844192443,1,Iléwat
FRY03,662,Bouygues Energies & Services,1.0,1,SEY78,257825646,1,Seymaborne
FRS56,658,Morbihan énergies | FR*S56,0.913,2,Morbihan énergies Normale Proximité,255601106,1,Freshmile France
FRIEN,645,NW IECharge,1.0,1,NW IECharge,898270251,1,Vezin-le-Coquet
FRUSC,637,Yusco | FR*USC,1.0,1,Yusco,,0,Yusco
FRPLN,622,Plenitude On The Road,1.0,1,Plenitude On The Road,912432002,1,Aire de Haut Forez Sud
FRDRE,620,DREAM ENERGY,1.0,1,DREAM ENERGY,980819866,2,DREAM ENERGY
FRADP,604,Bouygues Energies & Services,1.0,1,ADP Public,,0,ADP Groupe
FRS50,589,e-charge50,0.742,2,SDEM50,255002883,5,e-charge50
FRQWC,560,Qwello GmbH | FR*QWC,1.0,1,Qwello GmbH,,0,Qwello France SAS
FRE04,557,IZIVIA,1.0,1,IZIVIA EXPRESS,880175666,2,Izivia Express
FRS29,522,Bouygues Energies & Services,1.0,1,SYNDICAT DEPARTEMENTAL D ENERGIE DU FINISTERE,,0,Ouest Charge
FRFAS,505,Fastned France,1.0,1,Fastned France,853300010,1,Fastned Aire de Saulce
FRS10,497,Syndicat Départemental Énergie Aube (SDEA) | FR*S10,1.0,1,SDEA (Syndicat départemental d'énergie de l'Aube) Public,,0,Freshmile France
FRM13,488,EVzen (SMEG Développement),1.0,1,Aix-Marseille Provence Métropole,200054807,1,larecharge
FRS22,478,Bouygues Energies & Services,1.0,1,SYNDICAT DEPARTEMENTAL D'ENERGIE DES COTES D'ARMOR,,0,Ouest Charge
FRS37,473,Modulo,1.0,1,Modulo Energies,841376734,1,MODULO - BEAUMONT EN VERON - Rue Paul Langevin
FREVA,471,SPIE CityNetworks,1.0,1,CityFMET,917546251,1,e-Vadea
FR0NX,460,NEXTENEO,1.0,1,,,0,Serre chevalier
FRS80,444,Fédération Départementale d'Énergie de la Somme (FDE80) | FR*S80,1.0,1,TE80 DRCP accéléré,,0,Freshmile France
FRS35,444,Bouygues Energies & Services,0.928,2,SYNDICAT DEPARTEMENTAL D'ENERGIE 35,200050425,2,Ouest Charge
FRMFC,442,Plug Inn fast charge,1.0,1,Plug Inn fast charge,983504002,1,Plug Inn fast charge
FRMBZ,442,Mobilize Power Solutions,1.0,1,Mobilize Power Solutions,881248165,16,DEFFEUILLE LONS LE SAUNIER
FRZEE,432,ZEENCO e-mobility,1.0,1,ZEENCO e-mobility,852425289,1,Howdens
FRS30,418,Bouygues Energies & Services,1.0,1,reGARD,931833271,1,reGARD
FRIIM,415,IZIVIA,1.0,1,IZIVIA Impact,934595463,1,IZIVIA Impact
FRUBI,406,Ubitricity,0.966,2,Ubitricity,310505771,1,Ubitricity 2 Rue Philippe Lebon (Place des Expositions)
FRS69,404,QOVOLTIS,1.0,1,SYDER,200089720,1,QOVOLTIS
FRS34,394,Bouygues Energies & Services,1.0,1,Syndicat Mixte Hérault Énergies,,0,Reveo
FRWGO,394,Eiffage Energie Systèmes | FR*WGO,0.764,2,WEGO (EES AFC),342793098,1,WEGO (EES AFC)
FRAIR,389,DRIVECO Partner Network,1.0,1,DRIVECO,,0,DRIVECO
FRC01,384,Bouygues Energies & Services,1.0,1,Métropole Rouen Normandie,,0,Métropole Rouen Normandie
FRZP1,369,Zephyre SAS,0.534,2,Zephyre,480470152,85,Zephyre
FRSGA,347,SGA Industries,1.0,1,OGER,539672808,64,Réseau de recharge OGER
FRS91,345,,0.0,0,2_AM0001_SMOYS,,0,CPO CITEOS SMOYS
FRS12,333,Bouygues Energies & Services,1.0,1,Syndicat Interco d Énergies du Départ de l Aveyron,,0,Reveo
ESZUN,320,Zunder | ES*ZUN,1.0,1,Zunder,,0,Zunder
FRG10,319,e-totem,1.0,1,LPA,,0,LPA Béraudier P1
FRIGF,312,IZIVIA,1.0,1,GRAND FRAIS,940215577,1,GRAND FRAIS
FRIPK,309,TotalEnergies Marketing France,0.718,2,INTERPARKING France,692051113,4,INTERPARKING
FRE11,298,DRIVECO Partner Network,1.0,1,DRIVECO,,0,DRIVECO
FRDLM,294,Delmonicos,1.0,1,Delmonicos,900138355,3,Delmonicos
FRS63,291,SPIE CityNetworks,1.0,1,TERRITOIRE D'ENERGIE DU PUY-DE-DOME (TE 63),256300146,1,CHARGEZY - TE63
FRZUN,272,Zunder,1.0,1,Zunder,918951849,2,Zunder
FRESE,270,E-Totem,1.0,1,SEMOB,848778429,1,Réseau de charge Saint-Etienne Métropole
FRTLS,270,Bouygues Energies & Services,1.0,1,TOULIBEO,900952565,1,TOULIBEO
FROZE,269,OZECAR,1.0,1,Europcar Figari,,0,OZECAR
FRSHE,265,Shell Recharge,1.0,1,Shell Recharge,780130175,1,Shell- France Aire de Sommesous HW
FRS27,265,SIEGE 27,1.0,1,SIEGE 27,252701974,1,SIEGE27
FRSEV,252,SEVDEC,1.0,1,SEVDEC MOBILITY,903935427,21,Réseau de recharge SEVDEC
FRS84,248,Citeos Mobilité Electrique Paris - Cogelum IDF,1.0,1,3_AM0002_Vauclus'elec,200035913,1,CPO CITEOS Vaucluse
FRS95,246,Bouygues Energies & Services,1.0,1,Volti,259502458,1,Volti
FRLUM,242,ChargeFacile | FR*LUM,0.798,2,LUMI'IN,807940069,1,Charge Facile
FRPY2,237,Picoty | FR*PY2,1.0,1,PICOTY AUTOROUTES,,0,AVIA VOLT - PICOTY
FRM38,236,Bouygues Energies & Services,1.0,1,Grenoble-Alpes Métropole,,0,Grenoble-Alpes Métropole
FRLIB,235,Eoliberty,0.991,1,Eoliberty,918444860,1,ITM Nanteuil le Haudoin-Circontrol -C4
FRS41,234,Modulo,1.0,1,Modulo Energies,841376734,1,Modulo Energies MODULO - BLOIS - Rue de la Vallée Maillard
FRGYM,233,GEEVE,1.0,1,GREENYELLOW EMOBILITY,835370842,1,GEEVE
FROSC,225,SPIE CityNetworks,1.0,1,CityFMET64,992163725,1,Oscéa 64
FRS31,222,Syndicat Départemental d'Énergie De la Haute-Garonne (SDEHG) | FR*S31,0.973,2,SDEHG,200075240,1,Freshmile France
FRSEO,218,Séolis,1.0,1,SIEDS,200091049,2,AlterBase
